timestamp,event,value
2024-05-10T07:40:59.2112183+02:00,conn-0-speed,43
2024-05-10T07:40:59.9157638+02:00,conn-0-speed,157
2024-05-10T07:41:00.1275723+02:00,conn-0-speed,57
2024-05-10T07:41:00.4181787+02:00,conn-0-speed,58
2024-05-10T07:41:00.6298939+02:00,conn-0-speed,60
2024-05-10T07:41:00.9209826+02:00,conn-0-speed,61
2024-05-10T07:41:01.1224142+02:00,conn-0-speed,62
2024-05-10T07:41:01.4244138+02:00,conn-0-speed,63
2024-05-10T07:41:01.6257103+02:00,conn-0-speed,34
2024-05-10T07:41:01.9378594+02:00,conn-0-speed,64
2024-05-10T07:41:02.2288941+02:00,conn-0-speed,66
2024-05-10T07:41:02.4300222+02:00,conn-0-speed,67
2024-05-10T07:41:02.6312045+02:00,conn-0-speed,68
2024-05-10T07:41:02.933897+02:00,conn-0-speed,62
2024-05-10T07:41:03.1341739+02:00,conn-0-speed,33
2024-05-10T07:41:03.2350598+02:00,conn-0-speed,37
2024-05-10T07:41:03.4469954+02:00,conn-0-speed,56
2024-05-10T07:41:03.7389173+02:00,conn-0-speed,54
2024-05-10T07:41:04.0400905+02:00,conn-0-speed,74
2024-05-10T07:41:04.3426107+02:00,conn-0-speed,49
2024-05-10T07:41:04.8443602+02:00,conn-0-speed,40
2024-05-10T07:41:04.9452485+02:00,conn-0-speed,35
2024-05-10T07:41:05.1459434+02:00,conn-0-speed,77
2024-05-10T07:41:05.3478314+02:00,conn-0-speed,78
2024-05-10T07:41:05.5597004+02:00,conn-0-speed,79
2024-05-10T07:41:05.7612824+02:00,conn-0-speed,76
2024-05-10T07:41:06.0525699+02:00,conn-0-speed,3
2024-05-10T07:41:06.2532555+02:00,conn-0-speed,82
2024-05-10T07:41:06.4647809+02:00,conn-0-speed,39
2024-05-10T07:41:06.7559441+02:00,conn-0-speed,68
2024-05-10T07:41:06.8670815+02:00,conn-0-speed,36
2024-05-10T07:41:07.0599397+02:00,conn-0-speed,85
2024-05-10T07:41:07.2604675+02:00,conn-0-speed,87
2024-05-10T07:41:07.4610186+02:00,conn-0-speed,88
2024-05-10T07:41:07.7632209+02:00,conn-0-speed,20
